,is_canceled,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,agent,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,res_room_typeR,assn_room_typeR,cust_typeR,res_statusR,hotelR,arrival_date_monthR,mealR,deposit_typeR,market_segmentR,dist_channelR,countryR
17,1.0,123.0,2015.0,29.0,18.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,157.0,0.0,2.0,4,4.0,2,1,1,6.0,0,0,0,0,1
65,0.0,123.0,2015.0,30.0,19.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,240.0,0.0,130.5,0.0,1.0,4,4.0,2,0,1,6.0,0,0,0,0,2
70,0.0,79.0,2015.0,30.0,20.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,115.0,0.0,3.0,0,2.0,2,0,1,6.0,0,0,0,0,1
86,0.0,82.0,2015.0,30.0,20.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,152.43,0.0,3.0,0,0.0,2,0,1,6.0,1,0,0,0,1
389,1.0,131.0,2015.0,32.0,3.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,177.0,0.0,119.7,0.0,1.0,0,0.0,2,1,1,7.0,1,0,1,0,1
419,0.0,84.0,2015.0,32.0,5.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,168.71,0.0,3.0,0,0.0,2,0,1,7.0,1,0,0,0,1
451,0.0,116.0,2015.0,32.0,7.0,2.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,133.5,1.0,2.0,2,2.0,2,0,1,7.0,0,0,1,0,1
475,0.0,126.0,2015.0,32.0,8.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,261.0,0.0,133.0,1.0,2.0,0,0.0,2,0,1,7.0,1,0,1,0,1
498,0.0,81.0,2015.0,33.0,9.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,250.0,0.0,277.0,1.0,1.0,2,2.0,2,0,1,7.0,3,0,3,1,2
524,1.0,101.0,2015.0,33.0,10.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,196.0,0.0,2.0,4,4.0,2,1,1,7.0,1,0,0,0,1
